corridor_id,segment_index,segment_id,start_km,end_km,length_m,capture_date,output_file,metadata_file,width_px,height_px
soria_torralba,1,soria_torralba_km0_1,0.0,1.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km0_1_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km0_1_metadata.json,47,108
soria_torralba,2,soria_torralba_km1_2,1.0,2.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km1_2_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km1_2_metadata.json,71,107
soria_torralba,3,soria_torralba_km2_3,2.0,3.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km2_3_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km2_3_metadata.json,65,109
soria_torralba,4,soria_torralba_km3_4,3.0,4.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km3_4_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km3_4_metadata.json,90,88
soria_torralba,5,soria_torralba_km4_5,4.0,5.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km4_5_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km4_5_metadata.json,95,79
soria_torralba,6,soria_torralba_km5_6,5.0,6.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km5_6_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km5_6_metadata.json,81,100
soria_torralba,7,soria_torralba_km6_7,6.0,7.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km6_7_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km6_7_metadata.json,70,90
soria_torralba,8,soria_torralba_km7_8,7.0,8.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km7_8_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km7_8_metadata.json,116,50
soria_torralba,9,soria_torralba_km8_9,8.0,9.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km8_9_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km8_9_metadata.json,65,107
soria_torralba,10,soria_torralba_km9_10,9.0,10.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km9_10_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km9_10_metadata.json,50,116
soria_torralba,11,soria_torralba_km10_11,10.0,11.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km10_11_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km10_11_metadata.json,51,116
soria_torralba,12,soria_torralba_km11_12,11.0,12.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km11_12_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km11_12_metadata.json,55,108
soria_torralba,13,soria_torralba_km12_13,12.0,13.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km12_13_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km12_13_metadata.json,39,117
soria_torralba,14,soria_torralba_km13_14,13.0,14.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km13_14_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km13_14_metadata.json,56,109
soria_torralba,15,soria_torralba_km14_15,14.0,15.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km14_15_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km14_15_metadata.json,74,101
soria_torralba,16,soria_torralba_km15_16,15.0,16.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km15_16_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km15_16_metadata.json,96,84
soria_torralba,17,soria_torralba_km16_17,16.0,17.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km16_17_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km16_17_metadata.json,104,76
soria_torralba,18,soria_torralba_km17_18,17.0,18.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km17_18_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km17_18_metadata.json,98,80
soria_torralba,19,soria_torralba_km18_19,18.0,19.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km18_19_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km18_19_metadata.json,109,67
soria_torralba,20,soria_torralba_km19_20,19.0,20.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km19_20_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km19_20_metadata.json,103,64
soria_torralba,21,soria_torralba_km20_21,20.0,21.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km20_21_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km20_21_metadata.json,82,75
soria_torralba,22,soria_torralba_km21_22,21.0,22.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km21_22_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km21_22_metadata.json,55,114
soria_torralba,23,soria_torralba_km22_23,22.0,23.0,1000.0,2026-04-27,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km22_23_ndvi.tif,..\outputs\ndvi_blocks\soria_torralba\2026-04-27\soria_torralba_km22_23_metadata.json,69,102
